"mh_col","ingocup","se","cv","ingocup_razon"
1,3427188007,220905572.875077,0.0644568002758761,0.32779524140594
2,10455270773,722588861.834143,0.069112400579828,1
3,501938815,78059067.3595113,0.155515104683648,0.0480082080988492
4,19254240,12159805.2364343,0.631539091464233,0.00184158214722881
5,469508770,107222524.879479,0.228371718976578,0.0449064189913162
6,665832670,259970874.183653,0.390444755712652,0.0636839240662677
7,2917105996,277998399.318864,0.0952993822302178,0.279008172943088
8,1308228544,293351027.629742,0.224235305807349,0.125126223165679
9,0,0,NA,0
